Feature,Importance
total day minutes,0.1380957747274864
total day charge,0.12821753085605342
customer service calls,0.11278846831169907
international plan,0.07076880360224558
total eve charge,0.05826661197089103
total eve minutes,0.05202989400799447
total intl calls,0.03744020905437309
total intl charge,0.03741205080895741
total intl minutes,0.037290816646426105
total day calls,0.03417844073180512
account length,0.03191874431934689
total night minutes,0.03101929351674817
total night charge,0.029895999858991308
total night calls,0.02814501962352093
total eve calls,0.02792303604637294
number vmail messages,0.024939795836905164
voice mail plan,0.020217387801470834
area code_415,0.004922291170108801
area code_510,0.0043715618188145625
state_MD,0.0037379737758587474
state_NJ,0.003530755768540436
state_IN,0.0034901776110877487
state_MS,0.003407230144555381
state_TX,0.003392996539087637
state_SC,0.0031703266385538107
state_MN,0.002722218108146818
state_NV,0.002681847780127737
state_CT,0.00266506216908983
state_MT,0.0025614607029178942
state_PA,0.0025310467279351274
state_WA,0.002466496215260723
state_NC,0.002412188712811404
state_ME,0.002400704706604858
state_ID,0.0023258385523876857
state_NY,0.0022519521626283797
state_OR,0.002203505582357658
state_KS,0.0021542848897132274
state_CA,0.0021322531077810165
state_MI,0.0020032569271237325
state_OH,0.0019756019940282755
state_UT,0.0019241198138992524
state_LA,0.0019165485514487219
state_MA,0.0019163118761401654
state_WV,0.0018394994051515806
state_GA,0.001729432488195722
state_NM,0.0016680847423660144
state_DE,0.0015784882236722722
state_CO,0.001513413541546966
state_NH,0.0014093355360132662
state_AR,0.0013794370540110158
state_SD,0.0013703004530884724
state_MO,0.0012820583905457153
state_NE,0.0012303743009259385
state_VA,0.0012298316908884246
state_WY,0.001203447631706647
state_FL,0.0011092078570685922
state_IA,0.0010389890349835425
state_AZ,0.0010176713033863444
state_IL,0.0008941534792510174
state_VT,0.0008840218389827841
state_RI,0.000877687887260878
state_ND,0.0008424888590882708
state_AL,0.0008075445703313137
state_OK,0.0007547333446689901
state_WI,0.0007166685458397323
state_KY,0.0005172034674035092
state_TN,0.0004918959815144966
state_HI,0.00042352540094644267
state_DC,0.00037461520286448066
